user ID,Filename,Camera View,Activity Type,Start Time,End Time,Label,Appearance Block
38508,Dashboard_user_id_38058_0,Dashboard,Distracted Behavior,0:01:10,0:01:39,1,None
,,Dashboard,Distracted Behavior,0:01:47,0:02:09,9,None
,,Dashboard,Distracted Behavior,0:02:19,0:02:42,16,None
,,Dashboard,Distracted Behavior,0:02:51,0:03:11,3,None
,,Dashboard,Distracted Behavior,0:03:21,0:03:45,17,None
,,Dashboard,Distracted Behavior,0:03:54,0:04:17,4,None
,,Dashboard,Distracted Behavior,0:04:25,0:04:48,12,None
,,Dashboard,Distracted Behavior,0:04:57,0:05:15,11,None
,,Dashboard,Distracted Behavior,0:05:25,0:05:50,10,None
,,Dashboard,Distracted Behavior,0:05:59,0:06:20,6,None
,,Dashboard,Distracted Behavior,0:06:30,0:06:49,0,None
,,Dashboard,Distracted Behavior,0:06:57,0:07:15,7,None
,,Dashboard,Distracted Behavior,0:07:24,0:07:48,15,None
,,Dashboard,Distracted Behavior,0:07:57,0:08:22,2,None
,,Dashboard,Distracted Behavior,0:08:31,0:08:52,13,None
,,Dashboard,Distracted Behavior,0:09:01,0:09:20,5,None
,,Dashboard,Distracted Behavior,0:09:29,0:09:46,14,None
,,Dashboard,Distracted Behavior,0:09:56,0:10:19,8,None
,Rear_view_user_id_38058_0,Rearview,Distracted Behavior,0:01:10,0:01:39,1,None
,,Rearview,Distracted Behavior,0:01:47,0:02:09,9,None
,,Rearview,Distracted Behavior,0:02:19,0:02:42,16,None
,,Rearview,Distracted Behavior,0:02:51,0:03:11,3,None
,,Rearview,Distracted Behavior,0:03:21,0:03:45,17,None
,,Rearview,Distracted Behavior,0:03:54,0:04:17,4,None
,,Rearview,Distracted Behavior,0:04:25,0:04:48,12,None
,,Rearview,Distracted Behavior,0:04:57,0:05:15,11,None
,,Rearview,Distracted Behavior,0:05:25,0:05:50,10,None
,,Rearview,Distracted Behavior,0:05:59,0:06:20,6,None
,,Rearview,Distracted Behavior,0:06:30,0:06:49,0,None
,,Rearview,Distracted Behavior,0:06:57,0:07:15,7,None
,,Rearview,Distracted Behavior,0:07:24,0:07:48,15,None
,,Rearview,Distracted Behavior,0:07:57,0:08:22,2,None
,,Rearview,Distracted Behavior,0:08:31,0:08:52,13,None
,,Rearview,Distracted Behavior,0:09:01,0:09:20,5,None
,,Rearview,Distracted Behavior,0:09:29,0:09:46,14,None
,,Rearview,Distracted Behavior,0:09:56,0:10:19,8,None
,Right_side_window_user_id_38058_0,Rightside window,Distracted Behavior,0:01:10,0:01:39,1,None
,,Rightside window,Distracted Behavior,0:01:47,0:02:09,9,None
,,Rightside window,Distracted Behavior,0:02:19,0:02:42,16,None
,,Rightside window,Distracted Behavior,0:02:51,0:03:11,3,None
,,Rightside window,Distracted Behavior,0:03:21,0:03:45,17,None
,,Rightside window,Distracted Behavior,0:03:54,0:04:17,4,None
,,Rightside window,Distracted Behavior,0:04:25,0:04:48,12,None
,,Rightside window,Distracted Behavior,0:04:57,0:05:15,11,None
,,Rightside window,Distracted Behavior,0:05:25,0:05:50,10,None
,,Rightside window,Distracted Behavior,0:05:59,0:06:20,6,None
,,Rightside window,Distracted Behavior,0:06:30,0:06:49,0,None
,,Rightside window,Distracted Behavior,0:06:57,0:07:15,7,None
,,Rightside window,Distracted Behavior,0:07:24,0:07:48,15,None
,,Rightside window,Distracted Behavior,0:07:57,0:08:22,2,None
,,Rightside window,Distracted Behavior,0:08:31,0:08:52,13,None
,,Rightside window,Distracted Behavior,0:09:01,0:09:20,5,None
,,Rightside window,Distracted Behavior,0:09:29,0:09:46,14,None
,,Rightside window,Distracted Behavior,0:09:56,0:10:19,8,None
,Dashboard_user_id_38058_1,Dashboard,Distracted Behavior,0:01:23,0:01:41,1,Sunglasses
,,Dashboard,Distracted Behavior,0:01:50,0:02:12,9,Sunglasses
,,Dashboard,Distracted Behavior,0:02:21,0:02:44,16,Sunglasses
,,Dashboard,Distracted Behavior,0:02:54,0:03:14,3,Sunglasses
,,Dashboard,Distracted Behavior,0:03:23,0:03:47,17,Sunglasses
,,Dashboard,Distracted Behavior,0:03:54,0:04:18,4,Sunglasses
,,Dashboard,Distracted Behavior,0:04:27,0:04:52,12,Sunglasses
,,Dashboard,Distracted Behavior,0:05:01,0:05:19,11,Sunglasses
,,Dashboard,Distracted Behavior,0:05:28,0:05:53,10,Sunglasses
,,Dashboard,Distracted Behavior,0:06:03,0:06:25,6,Sunglasses
,,Dashboard,Distracted Behavior,0:06:34,0:06:51,0,Sunglasses
,,Dashboard,Distracted Behavior,0:07:00,0:07:38,7,Sunglasses
,,Dashboard,Distracted Behavior,0:07:47,0:08:11,15,Sunglasses
,,Dashboard,Distracted Behavior,0:08:19,0:08:44,2,Sunglasses
,,Dashboard,Distracted Behavior,0:08:54,0:09:15,13,Sunglasses
,,Dashboard,Distracted Behavior,0:09:23,0:09:42,5,Sunglasses
,,Dashboard,Distracted Behavior,0:09:52,0:10:09,14,Sunglasses
,,Dashboard,Distracted Behavior,0:10:18,0:10:41,8,Sunglasses
,Rear_view_user_id_38058_1,Rearview,Distracted Behavior,0:01:23,0:01:41,1,Sunglasses
,,Rearview,Distracted Behavior,0:01:50,0:02:12,9,Sunglasses
,,Rearview,Distracted Behavior,0:02:21,0:02:44,16,Sunglasses
,,Rearview,Distracted Behavior,0:02:54,0:03:14,3,Sunglasses
,,Rearview,Distracted Behavior,0:03:23,0:03:47,17,Sunglasses
,,Rearview,Distracted Behavior,0:03:54,0:04:18,4,Sunglasses
,,Rearview,Distracted Behavior,0:04:27,0:04:52,12,Sunglasses
,,Rearview,Distracted Behavior,0:05:01,0:05:19,11,Sunglasses
,,Rearview,Distracted Behavior,0:05:28,0:05:53,10,Sunglasses
,,Rearview,Distracted Behavior,0:06:03,0:06:25,6,Sunglasses
,,Rearview,Distracted Behavior,0:06:34,0:06:51,0,Sunglasses
,,Rearview,Distracted Behavior,0:07:00,0:07:38,7,Sunglasses
,,Rearview,Distracted Behavior,0:07:47,0:08:11,15,Sunglasses
,,Rearview,Distracted Behavior,0:08:19,0:08:44,2,Sunglasses
,,Rearview,Distracted Behavior,0:08:54,0:09:15,13,Sunglasses
,,Rearview,Distracted Behavior,0:09:23,0:09:42,5,Sunglasses
,,Rearview,Distracted Behavior,0:09:52,0:10:09,14,Sunglasses
,,Rearview,Distracted Behavior,0:10:18,0:10:41,8,Sunglasses
,Rightside_window_user_id_38058_1,Rightside window,Distracted Behavior,0:01:23,0:01:41,1,Sunglasses
,,Rightside window,Distracted Behavior,0:01:50,0:02:12,9,Sunglasses
