user ID,Filename,Camera View,Activity Type,Start Time,End Time,Label,Appearance Block
24026,Dashboard_user_id_24026_3, Dashboard, Distracted,0:00:00,0:00:07,NA,None
 , , Dashboard, Distracted,0:00:08,0:00:31,10,None
 , , Dashboard, Distracted,0:00:41,0:00:59,9,None
 , , Dashboard, Distracted,0:01:09,0:01:26,0,None
 , , Dashboard, Distracted,0:01:36,0:02:00,3,None
 , , Dashboard, Distracted,0:02:10,0:02:27,1,None
 , , Dashboard, Distracted,0:02:37,0:02:59,12,None
 , , Dashboard, Distracted,0:03:09,0:03:24,2,None
 , , Dashboard, Distracted,0:03:34,0:03:58,8,None
 , , Dashboard, Distracted,0:04:08,0:04:32,7,None
 , , Dashboard, Distracted,0:04:42,0:05:04,17,None
 , , Dashboard, Distracted,0:05:14,0:05:31,16,None
 , , Dashboard, Distracted,0:05:41,0:05:59,6,None
 , , Dashboard, Distracted,0:06:09,0:06:25,5,None
 , , Dashboard, Distracted,0:06:35,0:06:57,14,None
 , , Dashboard, Distracted,0:07:07,0:07:25,15,None
 , , Dashboard, Distracted,0:07:35,0:07:53,13,None
 , , Dashboard, Distracted,0:08:03,0:08:25,11,None
 , , Dashboard, Distracted,0:08:35,0:08:50,4,None
 , , Dashboard, Distracted,0:08:53,0:08:55,NA,None
 ,Rear_view_user_id_24026_3, Rear_view, Distracted,0:00:00,0:00:07,NA,None
 , , Rear_view, Distracted,0:00:08,0:00:31,10,None
 , , Rear_view, Distracted,0:00:41,0:00:59,9,None
 , , Rear_view, Distracted,0:01:09,0:01:26,0,None
 , , Rear_view, Distracted,0:01:36,0:02:00,3,None
 , , Rear_view, Distracted,0:02:10,0:02:27,1,None
 , , Rear_view, Distracted,0:02:37,0:02:59,12,None
 , , Rear_view, Distracted,0:03:09,0:03:24,2,None
 , , Rear_view, Distracted,0:03:34,0:03:58,8,None
 , , Rear_view, Distracted,0:04:08,0:04:32,7,None
 , , Rear_view, Distracted,0:04:42,0:05:04,17,None
 , , Rear_view, Distracted,0:05:14,0:05:31,16,None
 , , Rear_view, Distracted,0:05:41,0:05:59,6,None
 , , Rear_view, Distracted,0:06:09,0:06:25,5,None
 , , Rear_view, Distracted,0:06:35,0:06:57,14,None
 , , Rear_view, Distracted,0:07:07,0:07:25,15,None
 , , Rear_view, Distracted,0:07:35,0:07:53,13,None
 , , Rear_view, Distracted,0:08:03,0:08:25,11,None
 , , Rear_view, Distracted,0:08:35,0:08:50,4,None
 ,Right_side_window_user_id_24026_3, Rightside_window, Distracted,0:00:00,0:00:07,NA,None
 , , Rightside_window, Distracted,0:00:08,0:00:31,10,None
 , , Rightside_window, Distracted,0:00:41,0:00:59,9,None
 , , Rightside_window, Distracted,0:01:09,0:01:26,0,None
 , , Rightside_window, Distracted,0:01:36,0:02:00,3,None
 , , Rightside_window, Distracted,0:02:10,0:02:27,1,None
 , , Rightside_window, Distracted,0:02:37,0:02:59,12,None
 , , Rightside_window, Distracted,0:03:09,0:03:24,2,None
 , , Rightside_window, Distracted,0:03:34,0:03:58,8,None
 , , Rightside_window, Distracted,0:04:08,0:04:32,7,None
 , , Rightside_window, Distracted,0:04:42,0:05:04,17,None
 , , Rightside_window, Distracted,0:05:14,0:05:31,16,None
 , , Rightside_window, Distracted,0:05:41,0:05:59,6,None
 , , Rightside_window, Distracted,0:06:09,0:06:25,5,None
 , , Rightside_window, Distracted,0:06:35,0:06:57,14,None
 , , Rightside_window, Distracted,0:07:07,0:07:25,15,None
 , , Rightside_window, Distracted,0:07:35,0:07:53,13,None
 , , Rightside_window, Distracted,0:08:03,0:08:25,11,None
 , , Rightside_window, Distracted,0:08:35,0:08:50,4,None
 ,Dashboard_user_id_24026_4, Dashboard, Distracted,0:00:00,0:00:22,NA,Sunglass
 , , Dashboard, Distracted,0:00:23,0:00:46,10,Sunglass
 , , Dashboard, Distracted,0:00:56,0:01:14,9,Sunglass
 , , Dashboard, Distracted,0:01:24,0:01:41,0,Sunglass
 , , Dashboard, Distracted,0:01:51,0:02:15,3,Sunglass
 , , Dashboard, Distracted,0:02:25,0:02:42,1,Sunglass
 , , Dashboard, Distracted,0:02:52,0:03:14,12,Sunglass
 , , Dashboard, Distracted,0:03:24,0:03:39,2,Sunglass
 , , Dashboard, Distracted,0:03:49,0:04:13,8,Sunglass
 , , Dashboard, Distracted,0:04:23,0:04:47,7,Sunglass
 , , Dashboard, Distracted,0:04:57,0:05:19,17,Sunglass
 , , Dashboard, Distracted,0:05:29,0:05:47,16,Sunglass
 , , Dashboard, Distracted,0:05:57,0:06:15,6,Sunglass
 , , Dashboard, Distracted,0:06:25,0:06:41,5,Sunglass
 , , Dashboard, Distracted,0:06:51,0:07:13,14,Sunglass
 , , Dashboard, Distracted,0:07:23,0:07:41,15,Sunglass
 , , Dashboard, Distracted,0:07:51,0:08:09,13,Sunglass
 , , Dashboard, Distracted,0:08:19,0:08:41,11,Sunglass
 , , Dashboard, Distracted,0:08:51,0:09:06,4,Sunglass
 , , Dashboard, Distracted,0:09:07,0:09:39,NA,Sunglass
 ,Rear_view_user_id_24026_4, Rear_view, Distracted,0:00:00,0:00:22,NA,Sunglass
 , , Rear_view, Distracted,0:00:23,0:00:46,10,Sunglass
 , , Rear_view, Distracted,0:00:56,0:01:14,9,Sunglass
 , , Rear_view, Distracted,0:01:24,0:01:41,0,Sunglass
 , , Rear_view, Distracted,0:01:51,0:02:15,3,Sunglass
 , , Rear_view, Distracted,0:02:25,0:02:42,1,Sunglass
 , , Rear_view, Distracted,0:02:52,0:03:14,12,Sunglass
 , , Rear_view, Distracted,0:03:24,0:03:39,2,Sunglass
 , , Rear_view, Distracted,0:03:49,0:04:13,8,Sunglass
 , , Rear_view, Distracted,0:04:23,0:04:47,7,Sunglass
 , , Rear_view, Distracted,0:04:57,0:05:19,17,Sunglass
 , , Rear_view, Distracted,0:05:29,0:05:47,16,Sunglass
 , , Rear_view, Distracted,0:05:57,0:06:15,6,Sunglass
 , , Rear_view, Distracted,0:06:25,0:06:41,5,Sunglass
 , , Rear_view, Distracted,0:06:51,0:07:13,14,Sunglass
 , , Rear_view, Distracted,0:07:23,0:07:41,15,Sunglass
 , , Rear_view, Distracted,0:07:51,0:08:09,13,Sunglass
 , , Rear_view, Distracted,0:08:19,0:08:41,11,Sunglass
 , , Rear_view, Distracted,0:08:51,0:09:06,4,Sunglass
 , , Rear_view, Distracted,0:09:07,0:09:39,NA,Sunglass
