Filename,Camera View,Activity Type,Start Time,End Time,Label,Appearance Block
Dashboard_user_id_61597_5,Dashboard,Distracted Behavior,0:00:11,0:00:29,11,None
,Dashboard,Distracted Behavior,0:00:52,0:00:54,16,None
,Dashboard,Distracted Behavior,0:01:05,0:01:21,3,None
,Dashboard,Distracted Behavior,0:01:31,0:01:53,13,None
,Dashboard,Distracted Behavior,0:02:07,0:02:14,4,None
,Dashboard,Distracted Behavior,0:02:33,0:02:57,15,None
,Dashboard,Distracted Behavior,0:03:07,0:03:25,17,None
,Dashboard,Distracted Behavior,0:03:37,0:03:55,7,None
,Dashboard,Distracted Behavior,0:04:06,0:04:21,9,None
,Dashboard,Distracted Behavior,0:04:30,0:04:47,6,None
,Dashboard,Distracted Behavior,0:04:57,0:05:19,8,None
,Dashboard,Distracted Behavior,0:05:27,0:05:48,0,None
,Dashboard,Distracted Behavior,0:05:59,0:06:13,1,None
,Dashboard,Distracted Behavior,0:06:23,0:06:42,12,None
,Dashboard,Distracted Behavior,0:06:52,0:07:10,14,None
,Dashboard,Distracted Behavior,0:07:17,0:07:41,5,None
,Dashboard,Distracted Behavior,0:07:50,0:08:10,2,None
,Dashboard,Distracted Behavior,0:08:20,0:08:38,10,None
Dashboard_user_id_61597_7,Dashboard,Distracted Behavior,0:00:11,0:00:29,11,Sunglasses
,Dashboard,Distracted Behavior,0:00:39,0:00:50,16,Sunglasses
,Dashboard,Distracted Behavior,0:01:04,0:01:21,3,Sunglasses
,Dashboard,Distracted Behavior,0:01:30,0:01:53,13,Sunglasses
,Dashboard,Distracted Behavior,0:02:04,0:02:22,4,Sunglasses
,Dashboard,Distracted Behavior,0:02:33,0:02:55,15,Sunglasses
,Dashboard,Distracted Behavior,0:03:07,0:03:25,17,Sunglasses
,Dashboard,Distracted Behavior,0:03:36,0:03:54,7,Sunglasses
,Dashboard,Distracted Behavior,0:04:06,0:04:20,9,Sunglasses
,Dashboard,Distracted Behavior,0:04:28,0:04:46,6,Sunglasses
,Dashboard,Distracted Behavior,0:04:56,0:05:18,8,Sunglasses
,Dashboard,Distracted Behavior,0:05:26,0:05:48,0,Sunglasses
,Dashboard,Distracted Behavior,0:05:58,0:06:12,1,Sunglasses
,Dashboard,Distracted Behavior,0:06:24,0:06:42,12,Sunglasses
,Dashboard,Distracted Behavior,0:06:53,0:07:07,14,Sunglasses
,Dashboard,Distracted Behavior,0:07:17,0:07:42,5,Sunglasses
,Dashboard,Distracted Behavior,0:07:50,0:08:10,2,Sunglasses
,Dashboard,Distracted Behavior,0:08:21,0:08:35,10,Sunglasses
Rear_view_user_id_61597_5,Rearview,Distracted Behavior,0:00:11,0:00:29,11,None
,Rearview,Distracted Behavior,0:00:52,0:00:54,16,None
,Rearview,Distracted Behavior,0:01:05,0:01:21,3,None
,Rearview,Distracted Behavior,0:01:31,0:01:53,13,None
,Rearview,Distracted Behavior,0:02:07,0:02:14,4,None
,Rearview,Distracted Behavior,0:02:33,0:02:57,15,None
,Rearview,Distracted Behavior,0:03:07,0:03:25,17,None
,Rearview,Distracted Behavior,0:03:37,0:03:55,7,None
,Rearview,Distracted Behavior,0:04:06,0:04:21,9,None
,Rearview,Distracted Behavior,0:04:30,0:04:47,6,None
,Rearview,Distracted Behavior,0:04:57,0:05:19,8,None
,Rearview,Distracted Behavior,0:05:27,0:05:48,0,None
,Rearview,Distracted Behavior,0:05:59,0:06:13,1,None
,Rearview,Distracted Behavior,0:06:23,0:06:42,12,None
,Rearview,Distracted Behavior,0:06:52,0:07:10,14,None
,Rearview,Distracted Behavior,0:07:17,0:07:41,5,None
,Rearview,Distracted Behavior,0:07:50,0:08:10,2,None
,Rearview,Distracted Behavior,0:08:20,0:08:38,10,None
