Filename,Camera View,Activity Type,Start Time,End Time,Label,Appearance Block
Dashboard_user_id_19332_5,Dashboard,Distracted Behavior,0:00:11,0:00:34,15,None
,Dashboard,Distracted Behavior,0:00:41,0:01:02,13,None
,Dashboard,Distracted Behavior,0:01:12,0:01:35,8,None
,Dashboard,Distracted Behavior,0:01:45,0:02:06,9,None
,Dashboard,Distracted Behavior,0:02:15,0:02:41,0,None
,Dashboard,Distracted Behavior,0:02:43,0:03:10,2,None
,Dashboard,Distracted Behavior,0:03:11,0:03:30,7,None
,Dashboard,Distracted Behavior,0:03:42,0:03:55,1,None
,Dashboard,Distracted Behavior,0:04:07,0:04:29,4,None
,Dashboard,Distracted Behavior,0:04:38,0:05:01,5,None
,Dashboard,Distracted Behavior,0:05:06,0:05:23,16,None
,Dashboard,Distracted Behavior,0:05:34,0:05:57,17,None
,Dashboard,Distracted Behavior,0:06:08,0:06:24,14,None
,Dashboard,Distracted Behavior,0:06:33,0:06:53,11,None
,Dashboard,Distracted Behavior,0:07:01,0:07:22,12,None
,Dashboard,Distracted Behavior,0:07:30,0:07:57,6,None
,Dashboard,Distracted Behavior,0:08:05,0:08:21,10,None
,Dashboard,Distracted Behavior,0:08:32,0:08:52,3,None
Dashboard_user_id_19332_7,Dashboard,Distracted Behavior,0:00:11,0:00:32,15,Hat
,Dashboard,Distracted Behavior,0:00:41,0:01:00,13,Hat
,Dashboard,Distracted Behavior,0:01:12,0:01:35,8,Hat
,Dashboard,Distracted Behavior,0:01:44,0:02:06,9,Hat
,Dashboard,Distracted Behavior,0:02:15,0:02:42,0,Hat
,Dashboard,Distracted Behavior,0:02:42,0:03:02,2,Hat
,Dashboard,Distracted Behavior,0:03:10,0:03:30,7,Hat
,Dashboard,Distracted Behavior,0:03:40,0:03:55,1,Hat
,Dashboard,Distracted Behavior,0:04:06,0:04:27,4,Hat
,Dashboard,Distracted Behavior,0:04:38,0:04:59,5,Hat
,Dashboard,Distracted Behavior,0:05:06,0:05:23,16,Hat
,Dashboard,Distracted Behavior,0:05:33,0:05:57,17,Hat
,Dashboard,Distracted Behavior,0:06:06,0:06:24,14,Hat
,Dashboard,Distracted Behavior,0:06:34,0:06:51,11,Hat
,Dashboard,Distracted Behavior,0:07:01,0:07:20,12,Hat
,Dashboard,Distracted Behavior,0:07:31,0:07:56,6,Hat
,Dashboard,Distracted Behavior,0:08:05,0:08:22,10,Hat
,Dashboard,Distracted Behavior,0:08:33,0:08:52,3,Hat
Rear_view_user_id_19332_5,Rear_view,Distracted Behavior,0:00:11,0:00:34,15,None
,Rear_view,Distracted Behavior,0:00:41,0:01:02,12,None
,Rear_view,Distracted Behavior,0:01:12,0:01:35,8,None
,Rear_view,Distracted Behavior,0:01:45,0:02:06,9,None
,Rear_view,Distracted Behavior,0:02:15,0:02:41,0,None
,Rear_view,Distracted Behavior,0:02:43,0:03:10,2,None
,Rear_view,Distracted Behavior,0:03:11,0:03:30,7,None
,Rear_view,Distracted Behavior,0:03:42,0:03:55,1,None
,Rear_view,Distracted Behavior,0:04:07,0:04:29,4,None
,Rear_view,Distracted Behavior,0:04:38,0:05:01,5,None
,Rear_view,Distracted Behavior,0:05:06,0:05:23,16,None
,Rear_view,Distracted Behavior,0:05:34,0:05:57,17,None
,Rear_view,Distracted Behavior,0:06:08,0:06:24,14,None
,Rear_view,Distracted Behavior,0:06:33,0:06:53,11,None
,Rear_view,Distracted Behavior,0:07:01,0:07:22,12,None
,Rear_view,Distracted Behavior,0:07:30,0:07:57,6,None
,Rear_view,Distracted Behavior,0:08:05,0:08:21,10,None
,Rear_view,Distracted Behavior,0:08:32,0:08:52,3,None
Rear_view_user_id_19332_7,Rear_view,Distracted Behavior,0:00:11,0:00:32,15,Hat
,Rear_view,Distracted Behavior,0:00:41,0:01:00,12,Hat
,Rear_view,Distracted Behavior,0:01:12,0:01:35,8,Hat
,Rear_view,Distracted Behavior,0:01:44,0:02:06,9,Hat
,Rear_view,Distracted Behavior,0:02:15,0:02:42,0,Hat
,Rear_view,Distracted Behavior,0:02:42,0:03:02,2,Hat
,Rear_view,Distracted Behavior,0:03:10,0:03:30,7,Hat
,Rear_view,Distracted Behavior,0:03:40,0:03:55,1,Hat
,Rear_view,Distracted Behavior,0:04:06,0:04:27,4,Hat
,Rear_view,Distracted Behavior,0:04:38,0:04:59,5,Hat
,Rear_view,Distracted Behavior,0:05:06,0:05:23,16,Hat
,Rear_view,Distracted Behavior,0:05:33,0:05:57,17,Hat
,Rear_view,Distracted Behavior,0:06:06,0:06:24,14,Hat
,Rear_view,Distracted Behavior,0:06:34,0:06:51,11,Hat
,Rear_view,Distracted Behavior,0:07:01,0:07:20,12,Hat
,Rear_view,Distracted Behavior,0:07:31,0:07:56,6,Hat
,Rear_view,Distracted Behavior,0:08:05,0:08:22,10,Hat
,Rear_view,Distracted Behavior,0:08:33,0:08:52,3,Hat
Right_side_window_user_id_19332_5,Rightside Window,Distracted Behavior,0:00:11,0:00:34,15,None
,Rightside Window,Distracted Behavior,0:00:41,0:01:02,12,None
,Rightside Window,Distracted Behavior,0:01:12,0:01:35,8,None
,Rightside Window,Distracted Behavior,0:01:45,0:02:06,9,None
,Rightside Window,Distracted Behavior,0:02:15,0:02:41,0,None
,Rightside Window,Distracted Behavior,0:02:43,0:03:10,2,None
,Rightside Window,Distracted Behavior,0:03:11,0:03:30,7,None
,Rightside Window,Distracted Behavior,0:03:42,0:03:55,1,None
,Rightside Window,Distracted Behavior,0:04:07,0:04:29,4,None
,Rightside Window,Distracted Behavior,0:04:38,0:05:01,5,None
,Rightside Window,Distracted Behavior,0:05:06,0:05:23,16,None
,Rightside Window,Distracted Behavior,0:05:34,0:05:57,17,None
,Rightside Window,Distracted Behavior,0:06:08,0:06:24,14,None
,Rightside Window,Distracted Behavior,0:06:33,0:06:53,11,None
,Rightside Window,Distracted Behavior,0:07:01,0:07:22,12,None
,Rightside Window,Distracted Behavior,0:07:30,0:07:57,6,None
,Rightside Window,Distracted Behavior,0:08:05,0:08:21,10,None
,Rightside Window,Distracted Behavior,0:08:32,0:08:52,3,None
Right_side_window_user_id_19332_7,Rightside Window,Distracted Behavior,0:00:11,0:00:32,15,Hat
,Rightside Window,Distracted Behavior,0:00:41,0:01:00,12,Hat
,Rightside Window,Distracted Behavior,0:01:12,0:01:35,8,Hat
,Rightside Window,Distracted Behavior,0:01:44,0:02:06,9,Hat
,Rightside Window,Distracted Behavior,0:02:15,0:02:42,0,Hat
,Rightside Window,Distracted Behavior,0:02:42,0:03:02,2,Hat
,Rightside Window,Distracted Behavior,0:03:10,0:03:30,7,Hat
,Rightside Window,Distracted Behavior,0:03:40,0:03:55,1,Hat
,Rightside Window,Distracted Behavior,0:04:06,0:04:27,4,Hat
,Rightside Window,Distracted Behavior,0:04:38,0:04:59,5,Hat
,Rightside Window,Distracted Behavior,0:05:06,0:05:23,16,Hat
,Rightside Window,Distracted Behavior,0:05:33,0:05:57,17,Hat
,Rightside Window,Distracted Behavior,0:06:06,0:06:24,14,Hat
,Rightside Window,Distracted Behavior,0:06:34,0:06:51,11,Hat
,Rightside Window,Distracted Behavior,0:07:01,0:07:20,12,Hat
