user ID,Filename,Camera View,Activity Type,Start Time,End Time,Label,Appearance Block
35133,Dashboard_user_id_35133_0,Dashboard,Distracted Behavior,0:01:11,0:01:34,12,None
,,Dashboard,Distracted Behavior,0:01:43,0:02:01,0,None
,,Dashboard,Distracted Behavior,0:02:10,0:02:28,1,None
,,Dashboard,Distracted Behavior,0:02:37,0:02:55,2,None
,,Dashboard,Distracted Behavior,0:03:05,0:03:23,15,None
,,Dashboard,Distracted Behavior,0:03:33,0:03:57,17,None
,,Dashboard,Distracted Behavior,0:04:07,0:04:30,9,None
,,Dashboard,Distracted Behavior,0:04:40,0:05:00,5,None
,,Dashboard,Distracted Behavior,0:05:09,0:05:26,14,None
,,Dashboard,Distracted Behavior,0:05:34,0:05:51,3,None
,,Dashboard,Distracted Behavior,0:06:00,0:06:22,8,None
,,Dashboard,Distracted Behavior,0:06:32,0:06:53,6,None
,,Dashboard,Distracted Behavior,0:07:02,0:07:25,10,None
,,Dashboard,Distracted Behavior,0:07:34,0:07:50,4,None
,,Dashboard,Distracted Behavior,0:07:59,0:08:24,11,None
,,Dashboard,Distracted Behavior,0:08:33,0:08:52,13,None
,,Dashboard,Distracted Behavior,0:09:01,0:09:23,7,None
,,Dashboard,Distracted Behavior,0:09:33,0:09:50,16,None
,Rear_view_user_id_35133_0,Rearview,Distracted Behavior,0:01:11,0:01:34,12,None
,,Rearview,Distracted Behavior,0:01:43,0:02:01,0,None
,,Rearview,Distracted Behavior,0:02:10,0:02:28,1,None
,,Rearview,Distracted Behavior,0:02:37,0:02:55,2,None
,,Rearview,Distracted Behavior,0:03:05,0:03:23,15,None
,,Rearview,Distracted Behavior,0:03:33,0:03:57,17,None
,,Rearview,Distracted Behavior,0:04:07,0:04:30,9,None
,,Rearview,Distracted Behavior,0:04:40,0:05:00,5,None
,,Rearview,Distracted Behavior,0:05:09,0:05:26,14,None
,,Rearview,Distracted Behavior,0:05:34,0:05:51,3,None
,,Rearview,Distracted Behavior,0:06:00,0:06:22,8,None
,,Rearview,Distracted Behavior,0:06:32,0:06:53,6,None
,,Rearview,Distracted Behavior,0:07:02,0:07:25,10,None
,,Rearview,Distracted Behavior,0:07:34,0:07:50,4,None
,,Rearview,Distracted Behavior,0:07:59,0:08:24,11,None
,,Rearview,Distracted Behavior,0:08:33,0:08:52,13,None
,,Rearview,Distracted Behavior,0:09:01,0:09:23,7,None
,,Rearview,Distracted Behavior,0:09:33,0:09:50,16,None
,Rightside_window_user_id_35133_0,Rightside window,Distracted Behavior,0:01:11,0:01:34,12,None
,,Rightside window,Distracted Behavior,0:01:43,0:02:01,0,None
,,Rightside window,Distracted Behavior,0:02:10,0:02:28,1,None
,,Rightside window,Distracted Behavior,0:02:37,0:02:55,2,None
,,Rightside window,Distracted Behavior,0:03:05,0:03:23,15,None
,,Rightside window,Distracted Behavior,0:03:33,0:03:57,17,None
,,Rightside window,Distracted Behavior,0:04:07,0:04:30,9,None
,,Rightside window,Distracted Behavior,0:04:40,0:05:00,5,None
,,Rightside window,Distracted Behavior,0:05:09,0:05:26,14,None
,,Rightside window,Distracted Behavior,0:05:34,0:05:51,3,None
